SN,Author,Abstract,Model,Model_detail,Purpose,Specialty,Use,n,Age,Female,AUC,Accuracy,Recall,Specificity,Precision,Sensitivity,PPV,NPV,F1-Score,Validation,Interpretable,Bias,Applicable,Country,Setting,n_normalized,Age_normalized,CV_Clean,Study Design,DOI,Paywall
23,"Nalepa, 2022","Optic pathway gliomas are low-grade neoplastic lesions that account for approximately 3-5% of brain tumors in children. Assessing tumor burden from magnetic resonance imaging (MRI) plays a central role in its efficient management, yet it is a challenging and human-dependent task due to the difficult and error-prone process of manual segmentation of such lesions, as they can easily manifest different location and appearance characteristics. In this paper, we tackle this issue and propose a fully-automatic and reproducible deep learning algorithm built upon the recent advances in the field which is capable of detecting and segmenting optical pathway gliomas from MRI. The proposed training strategies help us elaborate well-generalizing deep models even in the case of limited ground-truth MRIs presenting example optic pathway gliomas. The rigorous experimental study, performed over two clinical datasets of 22 and 51 multi-modal MRIs acquired for 22 and 51 patients with optical pathway gliomas, and a public dataset of 494 pre-surgery low-/high-grade glioma patients (corresponding to 494 multi-modal MRIs), and involving quantitative, qualitative and statistical analysis revealed that the suggested technique can not only effectively delineate optic pathway gliomas, but can also be applied for detecting other brain tumors. The experiments indicate high agreement between automatically calculated and ground-truth volumetric measurements of the tumors and very fast operation of the proposed approach, both of which can increase the clinical utility of the suggested software tool. Finally, our deep architectures have been made open-sourced to ensure full reproducibility of the method over other MRI data.",Neural network,NN,Diagnosis,Ophthalmology,Gliomas (MRI),567,1.054549315,0.47359,0.8913,0.8784,0.7742,0.88721,0.8042,0.7689,0.7138,0.8719,0.83366,Internal,No,Low,Yes,Poland,Multicenter,-0.202412017,-0.784846364,Radiology,Retrospective review,https://dx.doi.org/10.1016/j.compbiomed.2022.105237,Paywall
24,"Mesin, 2022","Chiari I malformation is characterized by the herniation of cerebellar tonsils below the foramen magnum. It is often accompanied by syringomyelia and neurosurgical management is still controversial. In fact, it is frequent that some symptomatic patients initially undergo bony decompression of the posterior fossa and need in a short time more invasive surgery with higher morbility (e.g., decompression of posterior fossa with dural plastic, with or without tonsillar coarctation) because of unsatisfactory results at MRI controls. This study proposes a machine learning approach (based on SVM classifier), applied to different morphometric indices estimated from sagittal MRI and some information on the patient (i.e., age and symptoms at diagnosis), to recognize patients with higher risk of syringomyelia and clinical deterioration. Our database includes 58 pediatric patients who underwent surgery treatment. A negative outcome at 1 year from the intervention was observed in 38% of them (accuracy of 62%). Our algorithm allows us to increase the accuracy to about 71%, showing it to be a valid support to neurosurgeons in refining the clinical picture.",SVM,SVM,Decision Support,Neurosurgery,Patient selection: Chiari I Malformation,58,9.17,0.448,0.9169,0.89747,0.84422,0.88222,0.82201,0.8452,0.85389,0.95934,0.84,Cross-validation,No,Low,Yes,Italy,Hospital,-0.217815251,0.4484706,0,Retrospective review,https://doi.org/10.3390/app12189039,
25,"Masoudi, 2022","OBJECTIVE: Discrimination between patients most likely to benefit from endoscopic third ventriculostomy (ETV) and those at higher risk of failure is challenging. Compared to other standard models, we have tried to develop a prognostic multi-layer perceptron model based on potentially high-impact new variables for predicting the ETV success score (ETVSS). METHODS: Clinical and radiological data of 128 patients have been collected, and ETV outcomes were evaluated. The success of ETV was defined as remission of symptoms and not requiring VPS for six months after surgery. Several clinical and radiological features have been used to construct the model. Then the Binary Gravitational Search algorithm was applied to extract the best set of features. Finally, two models were created based on these features, multi-layer perceptron, and logistic regression. RESULTS: Eight variables have been selected (age, callosal angle, bifrontal angle, bicaudate index, subdural hygroma, temporal horn width, third ventricle width, frontal horn width). The neural network model was constructed upon the selected features. The result was AUC:0.913 and accuracy:0.859. Then the BGSA algorithm removed half of the features, and the remaining (Age, Temporal horn width, Bifrontal angle, Frontal horn width) were applied to construct models. The ANN could reach an accuracy of 0.84, AUC:0.858 and Positive Predictive Value (PPV): 0.92, which was higher than the logistic regression model (accuracy:0.80, AUC: 0.819, PPV: 0.89). CONCLUSION: The research findings have shown that the MLP model is more effective than the classic logistic regression tools in predicting ETV success rate. In this model, two newly added features, the width of the lateral ventricle's temporal horn and the lateral ventricle's frontal horn, yield a relatively high inter-observer reliability.",Neural network,NN,Surgical Outcome Prediction,Neurosurgery,Endoscopic third ventriculostomy,128,1.65016895,0.56551449,0.858,0.84,0.7727,0.599,0.66138,0.7673,0.7728,0.7449,0.72326,Internal,No,High,Yes,Iran,Hospital,-0.215696928,-0.694329173,0,Retrospective review,https://dx.doi.org/10.1016/j.clineuro.2022.107295,Paywall
26,"Makhdoomi, 2022","Conference Title: 2022 IEEE 12th Annual Computing and Communication Workshop and Conference (CCWC)Conference Start Date: 2022, Jan. 26 Conference End Date: 2022, Jan. 29 Conference Location: Las Vegas, NV, USAAccording to research conducted by Johns Hopkins' Division of Pediatric Orthopedic Surgery, around three million new instances of Scoliosis are identified each year, with the majority of cases affecting children between the ages of 10 and 12. The current method of diagnosing and treating Scoliosis, which includes spinal injections, back braces, and a variety of other types of surgery, may have resulted in inconsistencies and ineffective treatment by professionals. Other scoliosis diagnosis methods have been developed since the technology's invention. Using Convolutional Neural Network (CNN), this research will integrate an artificial intelligence-assisted method for detecting and classifying Scoliosis illness types. The software model will include an initialization phase, preprocessing the dataset, segmentation of features, performance measurement, and severity classification. The neural network used in this study is U-Net, which was developed specifically for biomedical picture segmentation. It has demonstrated reliable and accurate results, with prediction accuracy reaching 94.42%. As a result, it has been established that employing an algorithm helped by artificial intelligence provides a higher level of accuracy in detecting Scoliosis than manual diagnosis by professionals.",Neural network,CNN,Diagnosis,Orthopedic Surgery,Scoliosis severity,481,1.555583333,0.338521239,0.894,0.9442,0.90637,0.94397,0.92554,0.89349,0.91717,0.8793,0.90716,Internal,No,High,No,Malaysia,Hospital,-0.205014528,-0.708703488,Radiology,Retrospective review,https://doi.org/10.1109/CCWC54503.2022.9720906,Paywall
27,"Ma, 2022","Purpose: To develop and validate a machine learning-based CT radiomics method for preoperatively predicting the stages (stage I and non-stage I) of Wilms tumor (WT) in pediatric patients. Method(s): A total of 118 patients with WT, who underwent contrast-enhanced computed tomography (CT) scans in our center between 2014 and 2021, were studied retrospectively and divided into two groups: stage I and non-stage I disease. Patients were randomly divided into training cohorts (n = 94) and test cohorts (n = 24). A total of 1,781 radiomic features from seven feature classes were extracted from preoperative portal venous-phase images of abdominal CT. Synthetic Minority Over-Sampling Technique (SMOTE) was used to handle imbalanced datasets, followed by a t-test and Least Absolute Shrinkage and Selection Operator (LASSO) regularization for feature selection. Support Vector Machine (SVM) was deployed using the selected informative features to develop the predicting model. The performance of the model was evaluated according to its accuracy, sensitivity, and specificity. The receiver operating characteristic curve (ROC) and the area under the ROC curve (AUC) was also arranged to assess the model performance. Result(s): The SVM model was fitted with 15 radiomic features obtained by t-test and LASSO concerning WT staging in the training dataset and demonstrated favorable performance in the testing dataset. Cross-validated AUC on the training dataset was 0.79 with a 95 percent confidence interval (CI) of 0.773-0.815 and a coefficient of variation of 3.76%, while AUC on the test dataset was 0.81, and accuracy, sensitivity, and specificity were 0.79, 0.87, and 0.69, respectively. Conclusion(s): The machine learning model of SVM based on radiomic features extracted from CT images accurately predicted WT stage I and non-stage I disease in pediatric patients preoperatively, which provided a rapid and non-invasive way for investigation of WT stages. Copyright © 2022 Ma, Shu, Jia, Zhou, Liu, Liang, Ding, He and Shu.",SVM,SVM,Diagnosis,General Surgery,Nephroblastoma,118,5.138516667,0.498669457,0.81,0.79,0.87,0.69,0.81064,0.87,0.91339,0.7997,0.83372,Cross-validation,No,High,Yes,China,Hospital,-0.215999546,-0.164199845,Radiology,Retrospective review,https://dx.doi.org/10.3389/fped.2022.873035,Paywall
28,"Lu, 2022","Cochlear nerve deficiency (CND) is often associated with variable outcomes of cochlear implantation (CI). We assessed previous investigations aiming to identify the main factors that determine CI outcomes, which would enable us to develop predictive models. Seventy patients with CND and normal cochlea who underwent CI surgery were retrospectively examined. First, using a data-driven approach, we collected demographic information, radiographic measurements, audiological findings, and audition and speech assessments. Next, CI outcomes were evaluated based on the scores obtained after 2 years of CI from the Categories of Auditory Performance index, Speech Intelligibility Rating, Infant/Toddler Meaningful Auditory Integration Scale or Meaningful Auditory Integration Scale, and Meaningful Use of Speech Scale. Then, we measured and averaged the audiological and radiographic characteristics of the patients to form feature vectors, adopting a multivariate feature selection method, called stability selection, to select the features that were consistent within a certain range of model parameters. Stability selection analysis identified two out of six characteristics, namely the vestibulocochlear nerve (VCN) area and the number of nerve bundles, which played an important role in predicting the hearing and speech rehabilitation results of CND patients. Finally, we used a parameter-optimized support vector machine (SVM) as a classifier to study the postoperative hearing and speech rehabilitation of the patients. For hearing rehabilitation, the accuracy rate was 71% for both the SVM classification and the area under the curve (AUC), whereas for speech rehabilitation, the accuracy rate for SVM classification and AUC was 93% and 94%, respectively. Our results identified that a greater number of nerve bundles and a larger VCN area were associated with better CI outcomes. The number of nerve bundles and VCN area can predict CI outcomes in patients with CND. These findings can help surgeons in selecting the side for CI and provide reasonable expectations for the outcomes of CI surgery.",SVM,SVM,Surgical Outcome Prediction,OHNS,Persistent hearing impairment,70,2.275833333,0.4714,0.94,0.93,0.94387,0.96141,0.88144,0.9388,0.9134,0.8602,0.93,Cross-validation,No,High,Yes,China,Hospital,-0.21745211,-0.599246037,0,Retrospective review,https://dx.doi.org/10.3389/fnins.2022.895560,Paywall
29,"Liu, 2022","OBJECTIVE: To investigate the effect of adenotonsillectomy on OSAS symptoms based on a data-driven approach and thereby identify criteria that may help avoid unnecessary surgery in children with OSAS. METHODS: In 323 children enrolled in the Childhood Adenotonsillectomy Trial, randomised to undergo either early adenotonsillectomy (eAT; N = 165) or a strategy of watchful waiting with supportive care (WWSC; N = 158), the apnea-hypopnea index, heart period pattern dynamics, and thoraco-abdominal asynchrony measurements from overnight polysomnography (PSG) were measured. Using machine learning, all children were classified into one of two different clusters based on those features. The cluster transitions between follow-up and baseline PSG were investigated for each to predict those children who recovered spontaneously, following surgery and those who did not benefit from surgery. RESULTS: The two clusters showed significant differences in OSAS symptoms, where children assigned in cluster A had fewer physiological and neurophysiological symptoms than cluster B. Whilst the majority of children were assigned to cluster A, those children who underwent surgery were more likely to stay in cluster A after seven months. Those children who were in cluster B at baseline PSG were more likely to have their symptoms reversed via surgery. Children who were assigned to cluster B at both baseline and 7 months after surgery had significantly higher end-tidal carbon dioxide at baseline. Children who spontaneously changed from cluster B to A presented highly problematic ratings in behaviour and emotional regulation at baseline. CONCLUSIONS: Data-driven analysis demonstrated that AT helps to reverse and to prevent the worsening of the pathophysiological symptoms in children with OSAS. Multiple pathophysiological markers used with machine learning can capture more comprehensive information on childhood OSAS. Children with mild physiological and neurophysiological symptoms could avoid AT, and children who have UAO symptoms post AT may have sleep-related hypoventilation disease which requires further investigation. Furthermore, the findings may help surgeons more accurately predict children on whom they should perform AT.",KNN,KNN,Decision Support,General Surgery,Patient selection: adenotonsilectomy,323,2.872542922,0.467007692,0.8215,0.6698,0.6451,0.7852,0.5934,0.6199,0.789,0.7499,0.6288,None,No,High,Yes,USA,Hospital,-0.209795886,-0.508563205,0,Prospective,https://dx.doi.org/10.1007/s11325-021-02425-w,Paywall
30,"Liu, 2022: Mortality","Neuroblastoma is one of the most common pediatric cancers. This study used machine learning (ML) to predict the mortality and a few other investigated intermediate outcomes of neuroblastoma patients non-invasively from CT images. Performances of multiple ML algorithms over retrospective CT images of 65 neuroblastoma patients are analyzed. An artificial neural network (ANN) is used on tumor radiomic features extracted from 3D CT images. A pre-trained 2D convolutional neural network (CNN) is used on slices of the same images. ML models are trained for various pathologically investigated outcomes of these patients. A subspecialty-trained pediatric radiologist independently reviewed the manually segmented primary tumors. Pyradiomics library is used to extract 105 radiomic features. Six ML algorithms are compared to predict the following outcomes: mortality, presence or absence of metastases, neuroblastoma differentiation, mitosis-karyorrhexis index (MKI), presence or absence of MYCN gene amplification, and presence of image-defined risk factors (IDRF). The prediction ranges over multiple experiments are measured using the area under the receiver operating characteristic (ROC-AUC) for comparison. Our results show that the radiomics-based ANN method slightly outperforms the other algorithms in predicting all outcomes except classification of the grade of neuroblastic differentiation, for which the elastic regression model performed the best. Contributions of the article are twofold: (1) noninvasive models for the prognosis from CT images of neuroblastoma, and (2) comparison of relevant ML models on this medical imaging problem.",Neural network,NN,Decision Support,Neurosurgery,Neuroblastoma prognosis,65,2.6,0.523076923,0.79,0.89858,0.77832,0.71461,0.80808,0.7691,0.7322,0.8492,0.83142,Cross-validation,No,High,No,USA,Hospital,-0.217603419,-0.549981953,0,Retrospective review,https://dx.doi.org/10.1007/s10278-022-00607-w,Paywall
30,"Liu, 2022: Metastases","Neuroblastoma is one of the most common pediatric cancers. This study used machine learning (ML) to predict the mortality and a few other investigated intermediate outcomes of neuroblastoma patients non-invasively from CT images. Performances of multiple ML algorithms over retrospective CT images of 65 neuroblastoma patients are analyzed. An artificial neural network (ANN) is used on tumor radiomic features extracted from 3D CT images. A pre-trained 2D convolutional neural network (CNN) is used on slices of the same images. ML models are trained for various pathologically investigated outcomes of these patients. A subspecialty-trained pediatric radiologist independently reviewed the manually segmented primary tumors. Pyradiomics library is used to extract 105 radiomic features. Six ML algorithms are compared to predict the following outcomes: mortality, presence or absence of metastases, neuroblastoma differentiation, mitosis-karyorrhexis index (MKI), presence or absence of MYCN gene amplification, and presence of image-defined risk factors (IDRF). The prediction ranges over multiple experiments are measured using the area under the receiver operating characteristic (ROC-AUC) for comparison. Our results show that the radiomics-based ANN method slightly outperforms the other algorithms in predicting all outcomes except classification of the grade of neuroblastic differentiation, for which the elastic regression model performed the best. Contributions of the article are twofold: (1) noninvasive models for the prognosis from CT images of neuroblastoma, and (2) comparison of relevant ML models on this medical imaging problem.",Neural network,NN,Decision Support,Neurosurgery,Neuroblastoma prognosis,65,2.6,0.523076923,0.83,0.89858,0.77862,0.71461,0.80808,0.7694,0.7322,0.8492,0.83142,Cross-validation,No,High,No,USA,Hospital,-0.217603419,-0.549981953,0,Retrospective review,https://dx.doi.org/10.1007/s10278-022-00607-w,Paywall
30,"Liu, 2022: Neuroblastic differentiation grade","Neuroblastoma is one of the most common pediatric cancers. This study used machine learning (ML) to predict the mortality and a few other investigated intermediate outcomes of neuroblastoma patients non-invasively from CT images. Performances of multiple ML algorithms over retrospective CT images of 65 neuroblastoma patients are analyzed. An artificial neural network (ANN) is used on tumor radiomic features extracted from 3D CT images. A pre-trained 2D convolutional neural network (CNN) is used on slices of the same images. ML models are trained for various pathologically investigated outcomes of these patients. A subspecialty-trained pediatric radiologist independently reviewed the manually segmented primary tumors. Pyradiomics library is used to extract 105 radiomic features. Six ML algorithms are compared to predict the following outcomes: mortality, presence or absence of metastases, neuroblastoma differentiation, mitosis-karyorrhexis index (MKI), presence or absence of MYCN gene amplification, and presence of image-defined risk factors (IDRF). The prediction ranges over multiple experiments are measured using the area under the receiver operating characteristic (ROC-AUC) for comparison. Our results show that the radiomics-based ANN method slightly outperforms the other algorithms in predicting all outcomes except classification of the grade of neuroblastic differentiation, for which the elastic regression model performed the best. Contributions of the article are twofold: (1) noninvasive models for the prognosis from CT images of neuroblastoma, and (2) comparison of relevant ML models on this medical imaging problem.",Neural network,NN,Decision Support,Neurosurgery,Neuroblastoma prognosis,65,2.6,0.523076923,0.8,0.89858,0.77832,0.71461,0.80808,0.7691,0.7322,0.8492,0.83142,Cross-validation,No,High,No,USA,Hospital,-0.217603419,-0.549981953,0,Retrospective review,https://dx.doi.org/10.1007/s10278-022-00607-w,Paywall
31,"Li, 2022","Objective: Prolonged mechanical ventilation in children undergoing cardiac surgery is related to the decrease in cardiac output. The pressure recording analytical method (PRAM) is a minimally invasive system for continuous hemodynamic monitoring. To evaluate the postoperative prognosis, our study explored the predictive value of hemodynamic management for the duration of mechanical ventilation (DMV). Methods: This retrospective study included 60 infants who underwent cardiac surgery. Cardiac index (CI), the maximal slope of systolic upstroke (dp/dt<sub>max</sub>), and cardiac cycle efficiency (CCE) derived from PRAM were documented in each patient 0, 4, 8, and 12 h (T0, T1, T2, T3, and T4, respectively) after their admission to the intensive care unit (ICU). A linear mixed model was used to deal with the hemodynamic data. Correlation analysis, receiver operating characteristic (ROC), and a XGBoost machine learning model were used to find the key factors for prediction. Results: Linear mixed model revealed time and group effect in CI and dp/dt<sub>max</sub>. Prolonged DMV also have negative correlations with age, weight, CI at and dp/dt<sub>max</sub> at T2. dp/dt<sub>max</sub> outweighing CI was the strongest predictor (AUC of ROC: 0.978 vs. 0.811, p < 0.01). The machine learning model suggested that dp/dt<sub>max</sub> at T2 <= 1.049 or < 1.049 in combination with CI at T0 <= 2.0 or >2.0 can predict whether prolonged DMV (AUC of ROC = 0.856). Conclusion: Cardiac dysfunction is associated with a prolonged DMV with hemodynamic evidence. CI measured by PRAM immediately after ICU admission and dp/dt<sub>max</sub> 8h later are two key factors in predicting prolonged DMV.",Ensemble learner,Extreme Gradient Boosted Decision Trees,Adverse Event Prediction,Cardiac Surgery,Duration of PMV,60,0.3975,0.44383,0.856,0.933,0.867,0.84356,0.89291,0.867,0.87898,0.8833,0.86767,None,Yes,High,Yes,China,Hospital,-0.217754727,-0.884699114,0,Retrospective review,https://dx.doi.org/10.3389/fcvm.2022.1036340,
32,"Kwong, 2022: Progression-free survival","BACKGROUND: Early kidney and anatomic features may be predictive of future progression and need for additional procedures in patients with posterior urethral valve (PUV). The objective of this study was to use machine learning (ML) to predict clinically relevant outcomes in these patients. METHODS: Patients diagnosed with PUV with kidney function measurements at our institution between 2000 and 2020 were included. Pertinent clinical measures were abstracted, including estimated glomerular filtration rate (eGFR) at each visit, initial vesicoureteral reflux grade, and renal dysplasia at presentation. ML models were developed to predict clinically relevant outcomes: progression in CKD stage, initiation of kidney replacement therapy (KRT), and need for clean-intermittent catheterization (CIC). Model performance was assessed by concordance index (c-index) and the model was externally validated. RESULTS: A total of 103 patients were included with a median follow-up of 5.7 years. Of these patients, 26 (25%) had CKD progression, 18 (17%) required KRT, and 32 (31%) were prescribed CIC. Additionally, 22 patients were included for external validation. The ML model predicted CKD progression (c-index = 0.77; external C-index = 0.78), KRT (c-index = 0.95; external C-index = 0.89) and indicated CIC (c-index = 0.70; external C-index = 0.64), and all performed better than Cox proportional-hazards regression. The models have been packaged into a simple easy-to-use tool, available at https://share.streamlit.io/jcckwong/puvop/main/app.py CONCLUSION: ML-based approaches for predicting clinically relevant outcomes in PUV are feasible. Further validation is warranted, but this implementable model can act as a decision-making aid. A higher resolution version of the Graphical abstract is available as Supplementary information.",Ensemble learner,Random Survival Forest,Adverse Event Prediction,Urology,Progression-free survival in CKD,103,1.68051484,0.27589,0.784,0.93934,0.8722,0.87119,0.90297,0.8748,0.94218,0.8813,0.90916,External,Yes,Low,Yes,Canada,Hospital,-0.216453472,-0.689717463,0,Retrospective review,https://dx.doi.org/10.1007/s00467-021-05321-3,Paywall
32,"Kwong, 2022: KRT-free survival","BACKGROUND: Early kidney and anatomic features may be predictive of future progression and need for additional procedures in patients with posterior urethral valve (PUV). The objective of this study was to use machine learning (ML) to predict clinically relevant outcomes in these patients. METHODS: Patients diagnosed with PUV with kidney function measurements at our institution between 2000 and 2020 were included. Pertinent clinical measures were abstracted, including estimated glomerular filtration rate (eGFR) at each visit, initial vesicoureteral reflux grade, and renal dysplasia at presentation. ML models were developed to predict clinically relevant outcomes: progression in CKD stage, initiation of kidney replacement therapy (KRT), and need for clean-intermittent catheterization (CIC). Model performance was assessed by concordance index (c-index) and the model was externally validated. RESULTS: A total of 103 patients were included with a median follow-up of 5.7 years. Of these patients, 26 (25%) had CKD progression, 18 (17%) required KRT, and 32 (31%) were prescribed CIC. Additionally, 22 patients were included for external validation. The ML model predicted CKD progression (c-index = 0.77; external C-index = 0.78), KRT (c-index = 0.95; external C-index = 0.89) and indicated CIC (c-index = 0.70; external C-index = 0.64), and all performed better than Cox proportional-hazards regression. The models have been packaged into a simple easy-to-use tool, available at https://share.streamlit.io/jcckwong/puvop/main/app.py CONCLUSION: ML-based approaches for predicting clinically relevant outcomes in PUV are feasible. Further validation is warranted, but this implementable model can act as a decision-making aid. A higher resolution version of the Graphical abstract is available as Supplementary information.",Ensemble learner,Random Survival Forest,Adverse Event Prediction,Urology,KRT-free survival after PUV repair,103,15.998,0.2557,0.887,0.94703,0.93279,0.78179,0.9615,0.92965,0.6243,0.97677,0.93825,External,Yes,Low,Yes,Canada,Hospital,-0.216453472,1.486131791,0,Retrospective review,https://dx.doi.org/10.1007/s00467-021-05321-3,Paywall
32,"Kwong, 2022: CIC-free survival","BACKGROUND: Early kidney and anatomic features may be predictive of future progression and need for additional procedures in patients with posterior urethral valve (PUV). The objective of this study was to use machine learning (ML) to predict clinically relevant outcomes in these patients. METHODS: Patients diagnosed with PUV with kidney function measurements at our institution between 2000 and 2020 were included. Pertinent clinical measures were abstracted, including estimated glomerular filtration rate (eGFR) at each visit, initial vesicoureteral reflux grade, and renal dysplasia at presentation. ML models were developed to predict clinically relevant outcomes: progression in CKD stage, initiation of kidney replacement therapy (KRT), and need for clean-intermittent catheterization (CIC). Model performance was assessed by concordance index (c-index) and the model was externally validated. RESULTS: A total of 103 patients were included with a median follow-up of 5.7 years. Of these patients, 26 (25%) had CKD progression, 18 (17%) required KRT, and 32 (31%) were prescribed CIC. Additionally, 22 patients were included for external validation. The ML model predicted CKD progression (c-index = 0.77; external C-index = 0.78), KRT (c-index = 0.95; external C-index = 0.89) and indicated CIC (c-index = 0.70; external C-index = 0.64), and all performed better than Cox proportional-hazards regression. The models have been packaged into a simple easy-to-use tool, available at https://share.streamlit.io/jcckwong/puvop/main/app.py CONCLUSION: ML-based approaches for predicting clinically relevant outcomes in PUV are feasible. Further validation is warranted, but this implementable model can act as a decision-making aid. A higher resolution version of the Graphical abstract is available as Supplementary information.",Ensemble learner,Random Survival Forest,Adverse Event Prediction,Urology,CIC-free survival after PUV repair,103,1.285511416,0.421167823,0.639,0.75214,0.78312,0.7768,0.6044,0.7662,0.7296,0.7469,0.6519,External,Yes,Low,Yes,Canada,Hospital,-0.216453472,-0.749746714,0,Retrospective review,https://dx.doi.org/10.1007/s00467-021-05321-3,Paywall
33,"Jung, 2022","The early detection of graft failure in pediatric liver transplantation is crucial for appropriate intervention. Graft failure is associated with numerous perioperative risk factors. This study aimed to develop an individualized predictive model for 90-days graft failure in pediatric liver transplantation using machine learning methods. We conducted a single-center retrospective cohort study. A total of 87 liver transplantation cases performed in patients aged < 12 years at the Severance Hospital between January 2010 and September 2020 were included as data samples. Preoperative conditions of recipients and donors, intraoperative care, postoperative serial laboratory parameters, and events observed within seven days of surgery were collected as features. A least absolute shrinkage and selection operator (LASSO) -based method was used for feature selection to overcome the high dimensionality and collinearity of variables. Among 146 features, four variables were selected as the resultant features, namely, preoperative hepatic encephalopathy, sodium level at the end of surgery, hepatic artery thrombosis, and total bilirubin level on postoperative day 7. These features were selected from different times and represent distinct clinical aspects. The model with logistic regression demonstrated the best prediction performance among various machine learning methods tested (area under the receiver operating characteristic curve (AUROC) = 0.898 and area under the precision-recall curve (AUPR) = 0.882). The risk scoring system developed based on the logistic regression model showed an AUROC of 0.910 and an AUPR of 0.830. Together, the prediction of graft failure in pediatric liver transplantation using the proposed machine learning model exhibited superior discrimination power and, therefore, can provide valuable information to clinicians for their decision making during the postoperative management of the patients.",Regression,Logistic regression,Surgical Outcome Prediction,General Surgery,Liver transplant failure,87,3.066666667,0.598,0.882,0.78544,0.8646,0.7347,0.82891,0.8688,0.90839,0.7406,0.84471,Cross-validation,Yes,Low,Yes,Korea,Hospital,-0.21693766,-0.479061934,0,Retrospective review,https://dx.doi.org/10.1038/s41598-022-25900-0,
34,"Jin, 2022","OBJECTIVE: Neonatal intraventricular hemorrhage (IVH) is a major cause of mortality and morbidity, particularly following premature birth. Even after the acute phase, posthemorrhagic hydrocephalus is a long-term complication, frequently requiring permanent ventriculoperitoneal shunt (VPS) placement. Currently, there are no risk classification methods integrating the constellation of clinical data to predict short- and long-term prognosis in neonatal IVH. To address this need, the authors developed a two-part machine learning approach for predicting short- and long-term outcomes after diagnosis of neonatal IVH. Integrating both maternal and neonatal characteristics, they developed a binary classifier to predict short-term mortality risk and a clinical scale to predict the long-term risk of VPS placement. METHODS: Neonates with IVH were identified from the Optum Clinformatics Data Mart administrative claims database. Matched maternal and childbirth characteristics were obtained for all patients. The primary endpoints of interest were short-term (30 day) mortality and long-term VPS placement. Classification of short-term mortality risk was evaluated using 5 different machine learning approaches and the best-performing method was validated using a withheld validation subset. Prediction of long-term shunt risk was performed using a multivariable Cox regression model with stepwise variable selection, which was subsequently converted to an easily applied integer risk scale. RESULTS: A total of 5926 neonates with IVH were identified. Most patients were born before 32 weeks' gestation (67.2%) and with low birth weight (81.2%). Empirical 30-day mortality risk was 10.9% across all IVH grades and highest among grade IV IVH (34.3%). Among the neonates who survived > 30 days, actuarial 12-month postdiagnosis risk of shunt placement was 5.4% across all IVH grades and 31.3% for grade IV IVH. The optimal short-term risk classifier was a random forest model achieving an area under the receiver operating characteristic curve of 0.882 with important predictors ranging from gestational age to diverse comorbid medical conditions. Selected features for long-term shunt risk stratification were IVH grade, respiratory distress syndrome, disseminated intravascular coagulation, and maternal preeclampsia or eclampsia. An integer risk scale, termed the Shunt Prediction After IVH in Neonates (SPAIN) scale, was developed from these 4 features, which, evaluated on withheld cases, demonstrated improved risk stratification compared with IVH grade alone (Harrell's concordance index 0.869 vs 0.852). CONCLUSIONS: In a large cohort of neonates with IVH, the authors developed a two-pronged, integrated, risk classification approach to anticipate short-term mortality and long-term shunt risk. The application of such approaches may improve the prognostication of outcomes and identification of higher-risk individuals who warrant careful surveillance and early intervention.",Ensemble learner,Random Forest,Decision Support,Neurosurgery,IVH prognosis,5926,0.126027397,0.448,0.882,0.91878,0.82312,0.982,0.80972,0.8367,0.658,0.917,0.84004,Internal,No,Low,Yes,USA,Claims database,-0.040239271,-0.925955204,0,Retrospective review,https://dx.doi.org/10.3171/2021.11.PEDS21390,
35,"Jabarkheel, 2022","Background: Surgical resection is a mainstay in the treatment of pediatric brain tumors to achieve tissue diagnosis and tumor debulking. While maximal safe resection of tumors is desired, it can be challenging to differentiate normal brain from neoplastic tissue using only microscopic visualization, intraoperative navigation, and tactile feedback. Here, we investigate the potential for Raman spectroscopy (RS) to accurately diagnose pediatric brain tumors intraoperatively. Methods: Using a rapid acquisition RS device, we intraoperatively imaged fresh ex vivo brain tissue samples from 29 pediatric patients at the Lucile Packard Children's Hospital between October 2018 and March 2020 in a prospective fashion. Small tissue samples measuring 2-4 mm per dimension were obtained with each individual tissue sample undergoing multiple unique Raman spectra acquisitions. All tissue samples from which Raman spectra were acquired underwent individual histopathology review. A labeled dataset of 678 unique Raman spectra gathered from 160 samples was then used to develop a machine learning model capable of (1) differentiating normal brain from tumor tissue and (2) normal brain from low-grade glioma (LGG) tissue. Results: Trained logistic regression model classifiers were developed using our labeled dataset. Model performance was evaluated using leave-one-patient-out cross-validation. The area under the curve (AUC) of the receiver-operating characteristic (ROC) curve for our tumor vs normal brain model was 0.94. The AUC of the ROC curve for LGG vs normal brain was 0.91. Conclusions: Our work suggests that RS can be used to develop a machine learning-based classifier to differentiate tumor vs non-tumor tissue during resection of pediatric brain tumors.",Regression,Regression,Decision Support,Neurosurgery,Tumor vs non-tumor tissue,29,7.41025,0.33979,0.94,0.898,0.849,0.923,0.90877,0.849,0.8807,0.96745,0.8684,Cross-validation,No,High,Yes,USA,Hospital,-0.218692842,0.181038807,0,Prospective,https://dx.doi.org/10.1093/noajnl/vdac118,
